,Date Run,Date/Time Run,Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Status code,Unnamed: 0,Date Run.1,Date/Time Run.1
30,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Montana,2020-08-19,5956.0,84.0,39.0,,0.65,,True,True,,,4630.0,0.44,Success!,,,
31,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Nebraska,,,,,,,,False,False,,,90860.0,4.77,An error occurred. ... ValueError('Unable to find layer covid19_hot_accumulative_lab_dt in flc URL https://gis.ne.gov/enterprise/rest/services/Covid19MapV5/MapServer'),,,
32,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Nevada,2020-08-19,63028.0,1134.0,25987.0,94.0,10.3,12.24,False,False,252397.0,768.0,261123.0,8.93,Success!,,,
33,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,New Hampshire,2020-08-19,7036.0,427.0,347.0,9.0,5.63,2.14,False,False,6166.0,420.0,20516.0,1.53,Success!,,,
34,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,New Mexico,2020-08-19,23749.0,729.0,429.0,,1.81,,True,False,,,43006.0,2.06,Success!,,,
35,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,New York -- New York,2020-08-19,227419.0,19005.0,35955.0,5304.0,29.03,30.44,False,True,123869.0,17426.0,2049418.0,24.27,Success!,,,
36,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,NewYork,,,,,,,,False,False,,,,,"An error occurred. ... TimeoutException('', None, None)",,,
37,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,North Carolina,2020-08-19,147932.0,2431.0,26709.0,718.0,24.13,31.18,False,True,110695.0,2303.0,2179622.0,21.46,Success!,,,
38,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,NorthDakota,,,,,,,,False,False,,,,,"An error occurred. ... AttributeError(""'NoneType' object has no attribute 'text'"")",,,
39,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Ohio,,,,,,,,False,False,,,1438271.0,12.35,An error occurred. ... JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,,
40,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Oklahoma,2020-08-19,49923.0,699.0,3534.5484,42.0099,7.08,6.01,False,False,39593.9313,656.0115,287959.0,7.35,Success!,,,
41,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Oregon,2020-08-19,23870.0,408.0,833.0,9.0,3.98,2.54,False,True,20915.0,354.0,77789.0,1.91,Success!,,,
42,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Pennsylvania,2020-08-19,122605.0,7523.0,17059.0,1572.0,28.37,21.11,False,True,60135.0,7445.0,1423319.0,11.13,Success!,,,
43,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Rhode Island,2020-07-03,16491.0,960.0,1592.0,48.0,12.29,6.14,False,False,12950.0,782.0,69254.0,6.55,Success!,,,
44,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,SouthCarolina,2020-08-19,107672.0,2343.0,37093.0,916.0,39.1,41.54,False,True,94859.0,2205.0,,,Success!,,,
45,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,SouthDakota,,,,,,,,False,False,,,,,"An error occurred. ... TimeoutException('', None, None)",,,
46,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Tennessee,2020-08-19,137800.0,1452.0,26597.0,449.0,19.3,30.92,True,True,,,1117489.0,16.8,Success!,,,
47,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Texas,2020-08-19,46006.0,10559.0,7308.0,1281.0,15.88,12.13,True,False,,,3365783.0,12.07,Success!,,,
48,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Texas -- Bexar County,2020-08-19,44456.0,656.0,464.0,17.0,6.81,15.32,False,False,6812.0,111.0,146703.0,7.62,Success!,,,
49,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Utah,2020-08-19,47521.0,377.0,1127.0,7.0,2.4,1.86,True,False,,,35862.0,1.18,Success!,,,
50,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Vermont,2020-08-19,1533.0,58.0,169.0,0.0,11.36,0.0,False,True,1488.0,58.0,8058.0,1.29,Success!,,,
51,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Virginia,2020-07-21,79371.0,2048.0,12922.0,483.0,16.28,23.58,True,True,,,1613285.0,19.17,Success!,,,
52,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Washington,2020-08-18,68264.0,1809.0,2745.0,58.0,5.81,3.29,False,False,47241.0,1764.0,269854.0,3.7,Success!,,,
53,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,"Washington, DC",2020-08-19,13354.0,600.0,6695.0,446.0,50.13,74.33,True,True,,,321317.0,46.94,Success!,,,
54,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,WestVirginia,,,,,,,,False,False,,,,,"An error occurred. ... TimeoutException('', None, None)",,,
55,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Wisconsin,2020-08-19,67493.0,1060.0,9167.0,216.0,15.02,20.71,False,True,61052.0,1043.0,368744.0,6.38,Success!,,,
56,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Wisconsin -- Milwaukee,2020-08-19,22502.0,395.0,6170.0,149.0,29.31,37.72,False,False,21049.0,395.0,252321.0,26.44,Success!,,,
57,2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Wyoming,,,,,,,,False,False,,,5540.0,0.95,An error occurred. ... JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,,
0,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Alabama,2020-08-18,105815.0,1867.0,28482.0,765.0,42.02,42.5,False,False,67787.0,1800.0,1293186.0,26.58,Success!,,,
1,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Alaska,2020-08-18,2669.0,28.0,152.0,0.0,6.38,0.0,False,True,2384.0,28.0,24129.0,3.27,Success!,,,
2,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Arizona,2020-08-18,194920.0,4529.0,4862.0,141.0,4.49,3.62,False,False,108317.0,3897.0,305259.0,4.39,Success!,,,
3,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Arkansas,2020-08-18,53487.0,619.0,11743.0,163.0,24.6,26.46,False,True,47734.0,616.0,460970.0,15.41,Success!,,,
4,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,California,2020-08-17 00:00:00,632667.0,11342.0,17615.0,876.0,4.28,8.03,False,False,411365.0,10910.0,2267875.0,5.79,Success!,,,
5,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,California - Los Angeles,,,,,,,,False,False,,,823987.0,8.16,"An error occurred. ... KeyError(""['Under Investigation'] not found in axis"")",,,
6,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,California - San Diego,2020-08-18,35162.0,633.0,1337.0,27.0,4.66,4.31,False,False,28695.0,626.0,166412.0,5.04,Success!,,,
7,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,California - San Francisco,,,,,,,,False,False,,,,,An error occurred. ... KeyError('Date_Uploaded.Data as of'),,,
8,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Colorado,2020-08-18,53631.0,1899.0,2601.0,126.0,5.69,6.76,False,False,45726.0,1864.0,227938.0,4.12,Success!,,,
9,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Connecticut,2020-08-17,49236.0,3571.0,6749.0,658.0,13.71,18.43,True,False,,,378262.0,10.56,Success!,,,
10,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Delaware,2020-08-18,16593.0,593.0,4317.0,151.0,28.44,26.63,False,False,15180.0,567.0,209892.0,22.11,Success!,,,
11,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Florida,2020-08-18,573811.0,9758.0,74268.0,1787.0,12.94,18.31,True,False,,,3316376.0,16.1,Success!,,,
12,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Florida -- Miami-Dade County,2020-08-18,146990.0,2126.0,12634.0,,15.07,,False,True,83833.0,,481976.0,17.75,Success!,,,
13,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Florida -- Orange County,2020-08-18,33709.0,352.0,4586.0,,24.32,,False,True,18859.0,,277193.0,20.98,Success!,,,
14,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Georgia,2020-08-18,241677.0,4794.0,61674.0,2098.0,25.52,43.76,True,True,,,3239300.0,31.46,Success!,,,
15,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Hawaii,2020-08-18,5349.0,41.0,29.0,,1.37,,False,True,2116.0,,26266.0,1.85,Success!,,,
16,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Idaho,2020-08-18,28326.0,272.0,304.0,3.0,1.07,1.1,False,True,,,11536.0,0.68,Success!,,,
17,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Illinois,2020-08-18,209594.0,7782.0,33090.0,2102.0,15.79,27.01,True,False,,,1824125.0,14.23,Success!,,,
18,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Indiana,2020-08-18,81847.0,2954.0,9007.0,415.0,11.0,14.05,True,True,,,619472.0,9.33,Success!,,,
19,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Iowa,2020-08-18,52969.0,989.0,3808.0,42.0,7.19,4.25,True,True,,,109911.0,3.51,Success!,,,
20,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Kansas,2020-08-17,35167.0,405.0,2669.0,69.0,9.22,17.65,False,True,28958.0,391.0,169801.0,5.84,Success!,,,
21,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Kentucky,,,,,,,,False,False,,,354112.0,7.98,"An error occurred. ... CSVParseError(""Error failed to create DataFrame with different column tables.\nTry to set `multiple_tables=True`or set `names` option for `pandas_options`. \n, caused by ParserError('Error tokenizing data. C error: Expected 2 fields in line 9, saw 3\\n')"")",,,
22,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Louisiana,2020-08-12,139125.0,4431.0,49262.0,2054.0,43.11,48.99,False,True,114279.0,4193.0,1502916.0,32.23,Success!,,,
23,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Maine,2020-08-18,4213.0,127.0,919.0,,24.03,,False,True,3824.0,,17881.0,1.34,Success!,,,
24,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Maryland,2020-08-18,101235.0,3511.0,32296.0,1441.0,37.63,41.15,False,False,85830.0,3502.0,1788090.0,29.78,Success!,,,
25,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Massachusetts,2020-08-18,124063.0,8848.0,11461.0,732.0,9.24,8.27,True,False,,,510558.0,7.48,Success!,,,
26,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Michigan,2020-08-18,93587.0,6271.0,23518.0,2459.0,25.13,39.21,True,False,,,1375424.0,13.81,Success!,,,
27,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Minnesota,2020-08-18,66061.0,1721.0,13737.0,169.0,20.79,9.82,True,True,,,342186.0,6.19,Success!,,,
28,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Mississippi,2020-08-17,73207.0,2128.0,30761.0,1028.0,42.02,48.31,True,True,,,1125834.0,37.67,Success!,,,
29,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Missouri,2020-08-18,69407.0,1402.0,11600.0,445.0,26.42,33.09,False,True,43901.0,1345.0,704896.0,11.57,Success!,,,
30,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Montana,2020-08-18,5846.0,84.0,37.0,,0.63,,True,True,,,4630.0,0.44,Success!,,,
31,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Nebraska,,,,,,,,False,False,,,90860.0,4.77,An error occurred. ... ValueError('Unable to find layer covid19_hot_accumulative_lab_dt in flc URL https://gis.ne.gov/enterprise/rest/services/Covid19MapV5/MapServer'),,,
32,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Nevada,2020-08-18,62639.0,1102.0,3406.0,89.0,8.3,11.84,False,False,41018.0,752.0,261123.0,8.93,Success!,,,
33,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,New Hampshire,2020-08-18,7017.0,424.0,347.0,9.0,5.64,2.16,False,False,6150.0,417.0,20516.0,1.53,Success!,,,
34,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,New Mexico,2020-08-18,23579.0,723.0,429.0,,1.82,,True,False,,,43006.0,2.06,Success!,,,
35,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,New York -- New York,2020-08-18,227158.0,18999.0,35895.0,5303.0,29.08,30.44,False,True,123427.0,17419.0,2049418.0,24.27,Success!,,,
36,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,NewYork,2020-08-17,426571.0,25264.0,,6401.0,,26.9,False,False,,23799.0,,,Success!,,,
37,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,North Carolina,2020-08-18,146779.0,2396.0,26410.0,709.0,24.11,31.25,False,True,109522.0,2269.0,2179622.0,21.46,Success!,,,
38,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,NorthDakota,2020-08-18,8782.0,128.0,,,,,False,False,,,,,Success!,,,
39,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Ohio,,,,,,,,False,False,,,1438271.0,12.35,An error occurred. ... JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,,
40,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Oklahoma,2020-08-18,49326.0,682.0,3452.82,42.0112,7.0,6.16,False,False,38962.6074,641.9666,287959.0,7.35,Success!,,,
41,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Oregon,2020-08-18,23676.0,397.0,826.0,9.0,3.98,2.62,False,True,20736.0,344.0,77789.0,1.91,Success!,,,
42,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Pennsylvania,2020-08-18,122050.0,7499.0,16999.0,1572.0,28.45,21.11,False,True,59758.0,7445.0,1423319.0,11.13,Success!,,,
43,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Rhode Island,2020-07-03,16491.0,960.0,1592.0,48.0,12.29,6.14,False,False,12950.0,782.0,69254.0,6.55,Success!,,,
44,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,SouthCarolina,2020-08-18,107672.0,2343.0,37093.0,916.0,39.1,41.54,False,True,94859.0,2205.0,,,Success!,,,
45,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,SouthDakota,,,,,,,,False,False,,,,,"An error occurred. ... TimeoutException('', None, None)",,,
46,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Tennessee,2020-08-18,135778.0,1426.0,25849.0,445.0,19.04,31.21,True,True,,,1117489.0,16.8,Success!,,,
47,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Texas,2020-08-18,45576.0,10250.0,7223.0,1257.0,15.85,12.26,True,False,,,3365783.0,12.07,Success!,,,
48,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Texas -- Bexar County,2020-08-18,44265.0,637.0,464.0,17.0,6.81,15.32,False,False,6812.0,111.0,146703.0,7.62,Success!,,,
49,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Utah,2020-08-18,47157.0,369.0,1120.0,7.0,2.4,1.9,True,False,,,35862.0,1.18,Success!,,,
50,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Vermont,2020-08-18,1530.0,58.0,169.0,0.0,11.39,0.0,False,True,1484.0,57.0,8058.0,1.29,Success!,,,
51,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Virginia,2020-07-21,79371.0,2048.0,12922.0,483.0,16.28,23.58,True,True,,,1613285.0,19.17,Success!,,,
52,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Washington,2020-08-18,68264.0,1809.0,2745.0,58.0,5.81,3.29,False,False,47241.0,1764.0,269854.0,3.7,Success!,,,
53,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,"Washington, DC",2020-08-18,13325.0,599.0,6667.0,445.0,50.03,74.29,True,True,,,321317.0,46.94,Success!,,,
54,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,WestVirginia,,,,,,,,False,False,,,,,"An error occurred. ... TimeoutException('', None, None)",,,
55,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Wisconsin,2020-08-17,66196.0,1039.0,9081.0,212.0,15.17,20.74,False,True,59855.0,1022.0,368744.0,6.38,Success!,,,
56,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Wisconsin -- Milwaukee,2020-08-18,22480.0,395.0,6168.0,149.0,29.34,37.72,False,False,21021.0,395.0,252321.0,26.44,Success!,,,
57,2020-08-18,2020/08/18 20:26:24America/Los Angeles TZ,Wyoming,,,,,,,,False,False,,,5540.0,0.95,An error occurred. ... JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,,
0,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Alabama,2020-08-20,107483.0,1905.0,28913.0,780.0,41.88,42.51,False,False,69031.0,1835.0,1293186.0,26.58,Success!,,,
1,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Alaska,2020-08-20,2760.0,29.0,155.0,0.0,6.28,0.0,False,True,2468.0,29.0,24129.0,3.27,Success!,,,
2,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Arizona,2020-08-20,196280.0,4684.0,5773.0,146.0,4.51,3.54,False,False,127896.0,4120.0,305259.0,4.39,Success!,,,
3,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Arkansas,2020-08-20,54765.0,641.0,12039.0,165.0,24.56,25.86,False,True,49014.0,638.0,460970.0,15.41,Success!,,,
4,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,California,2020-08-19 00:00:00,644751.0,11686.0,18043.0,905.0,4.28,8.01,False,False,421143.0,11298.0,2267875.0,5.79,Success!,,,
5,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,California - Los Angeles,,,,,,,,False,False,,,823987.0,8.16,"An error occurred. ... KeyError(""['Under Investigation'] not found in axis"")",,,
6,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,California - San Diego,2020-08-20,35608.0,644.0,1353.0,29.0,4.65,4.55,False,False,29103.0,638.0,166412.0,5.04,Success!,,,
7,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,California - San Francisco,,,,,,,,False,False,,,,,An error occurred. ... KeyError('Date_Uploaded.Data as of'),,,
8,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Colorado,2020-08-20,54230.0,1903.0,2625.0,126.0,5.67,6.75,False,False,46291.0,1868.0,227938.0,4.12,Success!,,,
9,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Connecticut,2020-08-19,49402.0,3572.0,6787.0,658.0,13.74,18.42,True,False,,,378262.0,10.56,Success!,,,
10,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Delaware,2020-08-20,16718.0,595.0,4347.0,153.0,28.41,26.89,False,False,15299.0,569.0,209892.0,22.11,Success!,,,
11,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Florida,2020-08-20,582407.0,10049.0,76007.0,1827.0,13.05,18.18,True,False,,,3316376.0,16.1,Success!,,,
12,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Florida -- Miami-Dade County,2020-08-20,149162.0,2185.0,12836.0,,14.89,,False,True,86219.0,,481976.0,17.75,Success!,,,
13,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Florida -- Orange County,2020-08-20,34135.0,359.0,4681.0,,24.14,,False,True,19395.0,,277193.0,20.98,Success!,,,
14,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Georgia,2020-08-20,246741.0,4904.0,63371.0,2143.0,25.68,43.7,True,True,,,3239300.0,31.46,Success!,,,
15,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Hawaii,2020-08-20,5844.0,45.0,29.0,,1.37,,False,True,2116.0,,26266.0,1.85,Success!,,,
16,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Idaho,2020-08-20,29120.0,295.0,312.0,4.0,1.07,1.36,False,True,,,11536.0,0.68,Success!,,,
17,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Illinois,2020-08-20,213721.0,7833.0,33488.0,2109.0,15.67,26.92,True,False,,,1824125.0,14.23,Success!,,,
18,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Indiana,2020-08-20,83276.0,2979.0,9235.0,417.0,11.09,14.0,True,True,,,619472.0,9.33,Success!,,,
19,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Iowa,2020-08-20,54271.0,1014.0,3865.0,41.0,7.12,4.04,True,True,,,109911.0,3.51,Success!,,,
20,2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Kansas,2020-08-19,35890.0,411.0,2730.0,69.0,9.22,17.38,False,True,29610.0,397.0,169801.0,5.84,Success!,,,
