Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Status code
North Carolina,,,,,,,,An error occurred. ... ValueError('Unable to extract date from table header.')
Wisconsin -- Milwaukee,2020-06-15,9610.0,319.0,2700.0,133.0,28.1,1.38,Success!
Alabama,2020-06-15,25892.0,769.0,10670.0,351.0,41.21,45.64,Success!
Michigan,,,,,,,,"An error occurred. ... UnboundLocalError(""local variable 'date_published' referenced before assignment"")"
Arkansas,2020-06-15,664.0,12.0,17.0,0.0,2.6,0.0,Success!
Massachusetts,2020-06-15 00:00:00,105690.0,7647.0,9873.0,630.0,9.34,8.24,Success!
Missouri,2020-06-13,16189.0,828.0,3760.0,246.0,30.38,35.15,Success!
Mississippi,,,,,,,,"An error occurred. ... AttributeError(""'list' object has no attribute 'iloc'"")"
Texas -- Bexar County,2020-06-15,1805.0,54.0,310.0,17.0,17.17,31.48,Success!
Minnesota,2020-06-15,30693.0,1304.0,6649.0,92.0,21.66,7.06,Success!
California,2020-06-14,107199,4935,4999,471,4.7,9.5,Success!
Florida,2020-06-15,75388,2938,13426,587,17.81,19.98,Success!
"Washington, DC",2020-06-16 00:00:00,9818,520,4916,385,50.07,74.04,Success!
Colorado,,,,,,,,"An error occurred. ... DefaultCredentialsError('Could not automatically determine credentials. Please set GOOGLE_APPLICATION_CREDENTIALS or explicitly create credentials and re-run the application. For more information, please see https://cloud.google.com/docs/authentication/getting-started')"
California - San Diego,2020-06-15 09:16:53.863210,9610,282,292,9,3.04,3.19,Success!
Georgia,2020-06-15,58414,2494,17807,1195,30.48,47.91,Success!
Virginia,2020-06-16 00:00:00,55331,1570,7795,337,14.09,21.46,Success!
Indiana,2020-06-15,40430,2251,5202,342,12.87,15.19,Success!
Kentucky,,,,,,,,"An error occurred. ... NameError(""name 'download_file' is not defined"")"
California - Los Angeles,2020-06-14,73791,2926,2416,309,3.27,10.56,Success!
