Date Run,Date/Time Run,Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Status code
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Alabama,2020-11-04,168115.0,2799.0,38689.0,1052.0,33.09,38.79,False,False,116928.0,2712.0,1293186.0,26.58,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Alaska,2020-11-04,12481.0,80.0,550.0,3.0,4.53,3.75,False,True,12137.0,80.0,24129.0,3.27,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Arizona,2020-11-04,250633.0,6059.0,7698.0,187.0,4.36,3.48,False,False,176755.0,5376.0,305259.0,4.39,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Arkansas,2020-11-04,115812.0,2026.0,22977.0,356.0,22.02,18.99,False,True,104326.0,1875.0,460970.0,15.41,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,California,2020-11-03 00:00:00,940010.0,17752.0,28099.0,1316.0,4.2,7.47,False,False,668710.0,17609.0,2267875.0,5.79,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,California - Los Angeles,2020-11-03,313526.0,7117.0,9080.0,641.0,4.76,9.56,False,False,190691.0,6707.0,823987.0,8.16,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,California - San Diego,,,,,,,,False,False,,,166412.0,5.04,"An error occurred. ... UnboundLocalError(""local variable 'cases' referenced before assignment"")"
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,California - San Francisco,,,,,,,,False,False,,,,,"An error occurred. ... TimeoutException('', None, None)"
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Colorado,2020-11-04,117637.0,2333.0,4106.0,135.0,4.21,5.92,False,False,97568.0,2282.0,227938.0,4.12,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Connecticut,2020-11-03,71238.0,3736.0,8562.0,679.0,12.02,18.17,True,False,,,378262.0,10.56,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Delaware,,,,,,,,False,False,,,209892.0,22.11,"An error occurred. ... NoSuchElementException('no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//a[@data-chart-id=\'count-charts\']""}\n  (Session info: headless chrome=86.0.4240.183)', None, None)"
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Florida,2020-11-04,810256.0,16922.0,105437.0,2920.0,13.01,17.26,True,False,,,3316376.0,16.1,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Florida -- Miami-Dade County,2020-11-04,189332.0,3670.0,16222.0,,12.93,,False,True,125460.0,,481976.0,17.75,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Florida -- Orange County,2020-11-04,47655.0,561.0,7557.0,,21.35,,False,True,35395.0,,277193.0,20.98,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Georgia,,,,,,,,False,False,,,3239300.0,31.46,"An error occurred. ... KeyError(""There is no item named 'demographics.csv' in the archive"")"
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Hawaii,,,,,,,,False,False,,,26266.0,1.85,An error occurred. ... Exception('You do not have permissions to access this resource or perform this operation.\n(Error Code: 403)')
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Idaho,,,,,,,,False,False,,,11536.0,0.68,"An error occurred. ... TimeoutException('', None, None)"
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Illinois,2020-11-04,437556.0,9933.0,50998.0,2347.0,11.66,23.63,True,False,,,1824125.0,14.23,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Indiana,2020-11-04,191764.0,4224.0,15230.0,485.0,7.94,11.48,True,True,,,619472.0,9.33,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Iowa,2020-11-04,136700.0,1788.0,5966.0,59.0,4.36,3.3,True,True,,,109911.0,3.51,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Kansas,,,,,,,,False,False,,,169801.0,5.84,"An error occurred. ... TimeoutException('', None, None)"
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Kentucky,2020-11-04,113009.0,1514.0,9472.0,167.0,10.96,11.94,False,True,86429.0,1406.0,354112.0,7.98,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Louisiana,,,,,,,,False,False,,,1502916.0,32.23,An error occurred. ... Exception('You do not have permissions to access this resource or perform this operation.\n(Error Code: 403)')
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Maine,,,,,,,,False,False,,,17881.0,1.34,"An error occurred. ... TypeError(""'NoneType' object is not subscriptable"")"
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Maryland,2020-11-04,148766.0,4025.0,45723.0,1622.0,36.09,40.45,False,False,126676.0,4010.0,1788090.0,29.78,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Massachusetts,,,,,,,,False,False,,,510558.0,7.48,"An error occurred. ... KeyError(""There is no item named 'RaceEthnicity.csv' in the archive"")"
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Michigan,2020-11-04,192013.0,7348.0,30639.0,2605.0,15.96,35.45,True,False,,,1375424.0,13.81,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Minnesota,,,,,,,,False,False,,,342186.0,6.19,"An error occurred. ... AttributeError(""'NoneType' object has no attribute 'next_sibling'"")"
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Mississippi,,,,,,,,False,False,,,1125834.0,37.67,An error occurred. ... ValueError('Cannot convert non-finite values (NA or inf) to integer')
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Missouri,,,,,,,,False,False,,,704896.0,11.57,An error occurred. ... Exception('Token Required\nToken Required\n(Error Code: 499)')
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Montana,2020-11-04,35955.0,404.0,122.0,,0.34,,True,True,,,4630.0,0.44,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Nebraska,2020-11-03,74060.0,660.0,2930.0,42.0,5.66,6.99,False,True,51770.0,601.0,90860.0,4.77,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Nevada,,,,,,,,False,False,,,261123.0,8.93,"An error occurred. ... TimeoutException('', None, None)"
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,New Hampshire,2020-11-04,11563.0,484.0,422.0,9.0,4.26,1.97,False,False,9917.0,458.0,20516.0,1.53,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,New Mexico,2020-11-04,50251.0,1059.0,818.0,,1.63,,True,False,,,43006.0,2.06,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,New York -- New York,2020-11-04,258205.0,19376.0,39239.0,5364.0,26.76,30.28,False,True,146646.0,17715.0,2049418.0,24.27,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,NewYork,2020-11-03,515815.0,25868.0,,6484.0,,26.61,False,False,,24365.0,,,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,North Carolina,2020-11-04,282802.0,4507.0,51774.0,1260.0,22.57,29.31,False,True,229442.0,4299.0,2179622.0,21.46,Success!
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,NorthDakota,,,,,,,,False,False,,,,,"An error occurred. ... AttributeError(""'NoneType' object has no attribute 'text'"")"
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Ohio,,,,,,,,False,False,,,1438271.0,12.35,An error occurred. ... JSONDecodeError('Expecting value: line 1 column 1 (char 0)')
2020-11-04,2020/11/04 18:34:14America/Los Angeles TZ,Oklahoma,2020-11-04,127772.0,1392.0,8573.501199999999,82.9632,6.71,5.96,False,False,103853.0816,1286.0688,287959.0,7.35,Success!
