Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Status code
Massachusetts,2020-07-01,109143,8081,10242,664.0,9.38,8.22,True,False,Success!
Washington,2020-07-01,33435,1339,1366,43.0,6.0,3.0,False,False,Success!
Colorado,2020-07-01,33029,1697,1776,109.0,5.38,6.48,True,False,Success!
Florida,2020-07-02,166303,3617,23157,709.0,13.92,19.6,True,False,Success!
Maine,2020-07-02,3328,105,790,,26.87,,False,True,Success!
Georgia,2020-07-01,84237,2827,23908,1338.0,28.38,47.33,True,True,Success!
Mississippi,2020-07-02,28770,530,14137,1109.0,49.14,209.25,True,True,Success!
California - Los Angeles,2020-06-30,105507,3402,2904,358.0,2.75,10.52,True,False,Success!
Utah,2020-07-01,22716,173,613,<5,2.7,,True,False,Success!
Wisconsin -- Milwaukee,2020-07-01,11553,355,3289,143,30.77,40.28,False,False,Success!
Texas,2020-07-01,21960,662,2592,85,1180.33,1283.99,True,False,Success!
Missouri,2020-06-27,20261,996,5758,246,49.66,38.56,False,True,Success!
Virginia,2020-07-02,63735,1816,9195,396,14.43,21.81,True,True,Success!
Rhode Island,2020-06-29,16226,946,1573,47,12.33,6.11,False,False,Success!
"Washington, DC",2020-07-02,10390,554,5174,408,49.8,73.65,True,True,Success!
Delaware,2020-07-02,11731,510,3060,131,26.08,25.69,True,False,Success!
Alabama,2020-07-02,39604,961,14595,436,47.04,46.88,False,False,Success!
New Mexico,2020-07-01,12276,500,232,,1.89,,True,False,Success!
Vermont,2020-07-02,1227,56,118,0,9.88,0.0,False,True,Success!
Michigan,2020-07-01,64057,5873,19687,2352,30.73,40.05,True,False,Success!
Alaska,2020-07-01,978.0,14.0,24.0,0.0,2.45,0.0,True,True,Success!
California,2020-07-01,159300,5983,6953,561,4.4,9.4,False,True,Success!
Maryland,,,,,,,,False,False,"An error occurred. ... OSError(8, 'Exec format error')"
California - San Diego,2020-07-01,14623,372,506,12,4.35,3.26,False,False,Success!
Minnesota,2020-07-02,37210,1458,7707,125,20.71,8.57,True,True,Success!
Kentucky,2020-07-01,15842,572,1566,86,14.37,16.07,False,True,Success!
North Carolina,,,,,,,,False,False,"An error occurred. ... OSError(8, 'Exec format error')"
Indiana,2020-07-02,46387,2469,5672,357,12.23,14.46,True,True,Success!
Texas -- Bexar County,2020-07-02,12504,111,464,17.0,6.81,15.32,False,False,Success!
Montana,,,,,,,,False,False,"An error occurred. ... SSLError(MaxRetryError(""HTTPSConnectionPool(host='dphhs.mt.gov', port=443): Max retries exceeded with url: /publichealth/cdepi/diseases/coronavirusmt/demographics (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1108)')))""))"
Wisconsin,2020-07-01,29199,786,5085,185,19.43,23.87,False,True,Success!
New York -- New York,2020-07-02,212774,18519,33093,5171,30.17,30.48,False,True,Success!
Nebraska,2020-07-01,19310,276,1122,21,7.59,7.95,False,True,Success!
