Date Run,Date/Time Run,Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Status code
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Alabama,2020-09-07,121474.0,2152.0,31396.0,859.0,39.35,41.44,False,False,79792.0,2073.0,1293186.0,26.58,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Alaska,2020-09-07,3525.0,41.0,190.0,0.0,6.0,0.0,False,True,3168.0,40.0,24129.0,3.27,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Arizona,,,,,,,,False,False,,,305259.0,4.39,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Arkansas,2020-09-07,65727.0,908.0,14526.0,205.0,24.25,23.11,False,True,59911.0,887.0,460970.0,15.41,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,California,2020-09-06 00:00:00,735235.0,13726.0,21216.0,1035.0,4.28,7.72,False,False,496046.0,13409.0,2267875.0,5.79,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,California - Los Angeles,2020-09-06,248821.0,6030.0,7005.0,555.0,4.75,9.78,False,False,147528.0,5672.0,823987.0,8.16,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,California - San Diego,2020-09-06,40650.0,707.0,1506.0,31.0,4.52,4.43,False,False,33324.0,700.0,166412.0,5.04,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,California - San Francisco,,,,,,,,False,False,,,,,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Colorado,2020-09-07,59487.0,1973.0,2772.0,126.0,5.52,6.5,False,False,50249.0,1937.0,227938.0,4.12,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Connecticut,2020-09-03,51221.0,3583.0,7081.0,659.0,13.82,18.39,True,False,,,378262.0,10.56,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Delaware,,,,,,,,False,False,,,209892.0,22.11,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Florida,,,,,,,,False,False,,,3316376.0,16.1,"An error occurred. ... AttributeError(""'NoneType' object has no attribute 'x0'"")"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Florida -- Miami-Dade County,2020-09-07,161637.0,2658.0,14200.0,,14.41,,False,True,98519.0,,481976.0,17.75,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Florida -- Orange County,2020-09-07,37152.0,387.0,5204.0,,23.93,,False,True,21750.0,,277193.0,20.98,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Georgia,2020-09-07,283807.0,6044.0,73068.0,2571.0,25.75,42.54,True,True,,,3239300.0,31.46,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Hawaii,,,,,,,,False,False,,,26266.0,1.85,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Idaho,,,,,,,,False,False,,,11536.0,0.68,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Illinois,2020-09-07,250961.0,8179.0,36427.0,2163.0,14.52,26.45,True,False,,,1824125.0,14.23,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Indiana,2020-09-07,100394.0,3144.0,10260.0,432.0,10.22,13.74,True,True,,,619472.0,9.33,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Iowa,,,,,,,,False,False,,,109911.0,3.51,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Kansas,,,,,,,,False,False,,,169801.0,5.84,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Kentucky,2020-09-07,53064.0,996.0,4342.0,119.0,12.17,13.05,False,True,35680.0,912.0,354112.0,7.98,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Louisiana,2020-09-02,153177.0,4942.0,55541.0,2282.0,41.79,47.25,False,True,132914.0,4830.0,1502916.0,32.23,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Maine,2020-09-04,4632.0,134.0,939.0,,22.43,,False,True,4186.0,,17881.0,1.34,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Maryland,,,,,,,,False,False,,,1788090.0,29.78,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Massachusetts,2020-09-07,122791.0,9133.0,11758.0,746.0,9.58,8.17,True,False,,,510558.0,7.48,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Michigan,2020-09-07,107296.0,6465.0,24791.0,2496.0,23.11,38.61,True,False,,,1375424.0,13.81,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Minnesota,2020-09-07,81225.0,1860.0,15573.0,182.0,19.17,9.78,True,True,,,342186.0,6.19,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Mississippi,2020-09-06,87130.0,2585.0,35071.0,1208.0,40.25,46.73,True,True,,,1125834.0,37.67,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Missouri,2020-09-07,94304.0,1659.0,11621.0,474.0,26.35,31.77,False,True,44107.0,1492.0,704896.0,11.57,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Montana,2020-09-07,8316.0,118.0,44.0,,0.53,,True,True,,,4630.0,0.44,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Nebraska,2020-09-07,35975.0,404.0,2094.0,29.0,7.53,7.59,False,True,27819.0,382.0,90860.0,4.77,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Nevada,,,,,,,,False,False,,,261123.0,8.93,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,New Hampshire,,,,,,,,False,False,,,20516.0,1.53,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,New Mexico,2020-09-07,26144.0,807.0,463.0,,1.77,,True,False,,,43006.0,2.06,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,New York -- New York,2020-09-07,231824.0,19090.0,36578.0,5336.0,28.7,30.48,False,True,127441.0,17506.0,2049418.0,24.27,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,NewYork,,,,,,,,False,False,,,,,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,North Carolina,,,,,,,,False,False,,,2179622.0,21.46,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,NorthDakota,,,,,,,,False,False,,,,,"An error occurred. ... AttributeError(""'NoneType' object has no attribute 'text'"")"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Ohio,,,,,,,,False,False,,,1438271.0,12.35,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Oklahoma,,,,,,,,False,False,,,287959.0,7.35,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Oregon,,,,,,,,False,False,,,77789.0,1.91,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Pennsylvania,2020-09-07,135862.0,7780.0,18812.0,1619.0,26.91,20.91,False,True,69897.0,7742.0,1423319.0,11.13,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Rhode Island,2020-07-03,16491.0,960.0,1592.0,48.0,12.29,6.14,False,False,12950.0,782.0,69254.0,6.55,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,SouthCarolina,,,,,,,,False,False,,,,,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,SouthDakota,,,,,,,,False,False,,,,,"An error occurred. ... SessionNotCreatedException('session not created: This version of ChromeDriver only supports Chrome version 83', None, None)"
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Tennessee,2020-09-07,165109.0,1869.0,31120.0,549.0,18.85,29.37,True,True,,,1117489.0,16.8,Success!
2020-09-07,2020/09/07 19:11:52America/Los Angeles TZ,Texas,2020-09-07,48666.0,13492.0,7839.0,1544.0,0.16,0.11,True,False,,,3365783.0,12.07,Success!
