Date Run,Date/Time Run,Date Run,Date/Time Run,Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Status code
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Alabama,2020-08-12,100801.0,1814.0,27226.0,744.0,42.37,42.61,False,False,64265.0,1746.0,1293186.0,26.58,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Alaska,2020-08-12,2377.0,27.0,120.0,0.0,5.64,0.0,False,True,2128.0,27.0,24129.0,3.27,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Arizona,2020-08-12,189443.0,4347.0,4700.0,135.0,4.49,3.63,False,False,104589.0,3719.0,305259.0,4.39,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Arkansas,2020-08-12,51114.0,573.0,11047.0,153.0,24.55,26.66,False,True,44999.0,574.0,460970.0,15.41,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,California,2020-08-11 00:00:00,586056.0,10648.0,16141.0,850.0,4.26,8.25,False,False,378931.0,10301.0,2267875.0,5.79,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,California - Los Angeles,,,,,,,,False,False,,,823987.0,8.16,"An error occurred. ... KeyError(""['Under Investigation'] not found in axis"")"
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,California - San Diego,2020-08-12,33393.0,608.0,1272.0,25.0,4.68,4.15,False,False,27165.0,603.0,166412.0,5.04,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,California - San Francisco,,,,,,,,False,False,,,,,An error occurred. ... KeyError('Date_Uploaded.Data as of')
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Colorado,2020-08-12,51756.0,1875.0,2552.0,125.0,5.79,6.79,False,False,44081.0,1841.0,227938.0,4.12,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Connecticut,2020-08-11,48705.0,3566.0,6642.0,657.0,13.64,18.42,True,False,,,378262.0,10.56,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Delaware,2020-08-12,15765.0,592.0,4008.0,151.0,27.86,26.68,False,False,14384.0,566.0,209892.0,22.11,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Florida,2020-08-12,545040.0,8765.0,69171.0,1605.0,12.69,18.31,True,False,,,3316376.0,16.1,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Florida -- Miami-Dade County,2020-08-12,139271.0,1939.0,11994.0,,15.61,,False,True,76834.0,,481976.0,17.75,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Florida -- Orange County,2020-08-12,32341.0,325.0,4359.0,,24.41,,False,True,17856.0,,277193.0,20.98,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Georgia,2020-08-12,226153.0,4456.0,57435.0,1971.0,25.4,44.23,True,True,,,3239300.0,31.46,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Hawaii,2020-08-12,3958.0,38.0,24.0,,1.39,,False,True,1725.0,,26266.0,1.85,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Idaho,2020-08-12,26133.0,245.0,284.0,3.0,1.09,1.22,False,True,,,11536.0,0.68,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Illinois,2020-08-12,198593.0,7672.0,31955.0,2084.0,16.09,27.16,True,False,,,1824125.0,14.23,Success!
2020-08-13,2020/08/13 00:11:30America/Los Angeles TZ,2020-08-13,2020/08/13 00:09:39America/Los Angeles TZ,Indiana,2020-08-12,76522.0,2878.0,8644.0,408.0,11.3,14.18,True,True,,,619472.0,9.33,Success!
