Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Status code
North Carolina,,,,,,,,An error occurred. ... ValueError('Unable to extract date from table header.')
Wisconsin -- Milwaukee,2020-06-09,9001.0,301.0,2571.0,129.0,28.56,1.43,Success!
Michigan,,,,,,,,"An error occurred. ... UnboundLocalError(""local variable 'date_published' referenced before assignment"")"
Massachusetts,2020-06-09 00:00:00,103889.0,7408.0,9652.0,617.0,9.29,8.33,Success!
Texas -- Bexar County,2020-06-09,1805.0,54.0,276.0,17.0,15.29,31.48,Success!
Minnesota,2020-06-09,28523.0,1217.0,6283.0,78.0,22.03,6.41,Success!
Florida,2020-06-09,64448.0,2765.0,11954.0,551.0,18.55,19.93,Success!
"Washington, DC",2020-06-09 00:00:00,9474.0,495.0,4331.0,367.0,45.71,74.14,Success!
California - San Diego,2020-06-09 00:18:44.593038,8729.0,301.0,260.0,9.0,2.98,2.99,Success!
Georgia,2020-06-09,53249.0,2285.0,16779.0,1108.0,31.51,48.49,Success!
Virginia,2020-06-09 00:00:00,51738.0,1496.0,7154.0,311.0,13.83,20.79,Success!
