,Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Status code
Louisiana,Louisiana,6/22/2020,94769,3077,,1634,,53.11,Success!
New York State,New York State,6/28/2020,,24835,,4221,,17,Success!
