Date Run,Date/Time Run,Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Status code
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Alabama,2020-08-24,110769.0,1950.0,29709.0,795.0,41.47,42.31,False,False,71633.0,1879.0,1293186.0,26.58,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Alaska,,,,,,,,False,False,,,24129.0,3.27,"An error occurred. ... KeyError(""None of ['Demographic'] are in the columns"")"
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Arizona,2020-08-24,198414.0,4771.0,5835.0,146.0,4.51,3.48,False,False,129333.0,4200.0,305259.0,4.39,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Arkansas,2020-08-24,56894.0,696.0,12810.0,176.0,24.49,25.4,False,True,52311.0,693.0,460970.0,15.41,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,California,2020-08-23 00:00:00,668615.0,12152.0,18817.0,935.0,4.27,7.94,False,False,440194.0,11771.0,2267875.0,5.79,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,California - Los Angeles,,,,,,,,False,False,,,823987.0,8.16,"An error occurred. ... KeyError(""['Under Investigation'] not found in axis"")"
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,California - San Diego,2020-08-24,36727.0,660.0,1381.0,29.0,4.6,4.41,False,False,30007.0,657.0,166412.0,5.04,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,California - San Francisco,,,,,,,,False,False,,,,,"An error occurred. ... TimeoutException('', None, None)"
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Colorado,2020-08-24,55341.0,1919.0,2667.0,126.0,5.65,6.7,False,False,47195.0,1882.0,227938.0,4.12,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Connecticut,2020-08-23,49940.0,3574.0,6865.0,659.0,13.75,18.44,True,False,,,378262.0,10.56,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Delaware,2020-08-24,16942.0,604.0,4405.0,155.0,28.38,26.82,False,False,15519.0,578.0,209892.0,22.11,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Florida,2020-08-24,596511.0,10397.0,78483.0,1906.0,13.16,18.33,True,False,,,3316376.0,16.1,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Florida -- Miami-Dade County,2020-08-24,152612.0,2253.0,13280.0,,14.77,,False,True,89920.0,,481976.0,17.75,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Florida -- Orange County,2020-08-24,34781.0,361.0,4785.0,,24.07,,False,True,19882.0,,277193.0,20.98,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Georgia,2020-08-24,256253.0,5156.0,66314.0,2228.0,25.88,43.21,True,True,,,3239300.0,31.46,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Hawaii,2020-08-24,6769.0,49.0,51.0,,1.59,,False,True,3214.0,,26266.0,1.85,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Idaho,2020-08-24,30070.0,311.0,317.0,4.0,1.05,1.29,False,True,,,11536.0,0.68,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Illinois,2020-08-24,221790.0,7888.0,34114.0,2119.0,15.38,26.86,True,False,,,1824125.0,14.23,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Indiana,2020-08-24,87592.0,3008.0,9506.0,418.0,10.85,13.9,True,True,,,619472.0,9.33,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Iowa,2020-08-24,56667.0,1044.0,3976.0,42.0,7.02,4.02,True,True,,,109911.0,3.51,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Kansas,2020-08-24,38401.0,426.0,2925.0,69.0,9.25,16.83,False,True,31627.0,410.0,169801.0,5.84,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Kentucky,2020-08-23,43529.0,881.0,3705.0,112.0,12.54,13.84,False,True,29551.0,810.0,354112.0,7.98,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Louisiana,2020-08-19,143566.0,4623.0,52296.0,2143.0,42.6,48.11,False,True,122767.0,4454.0,1502916.0,32.23,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Maine,2020-08-24,4356.0,131.0,925.0,,23.36,,False,True,3959.0,,17881.0,1.34,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Maryland,2020-08-24,104669.0,3554.0,33503.0,1459.0,37.7,41.14,False,False,88864.0,3546.0,1788090.0,29.78,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Massachusetts,2020-08-24,126022.0,8949.0,11580.0,741.0,9.19,8.28,True,False,,,510558.0,7.48,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Michigan,2020-08-24,97583.0,6327.0,23856.0,2472.0,24.45,39.07,True,False,,,1375424.0,13.81,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Minnesota,,,,,,,,False,False,,,342186.0,6.19,An error occurred. ... ValueError('Unable to locate Black/AA data')
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Mississippi,2020-08-23,78405.0,2248.0,32403.0,1073.0,41.33,47.73,True,True,,,1125834.0,37.67,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Missouri,2020-08-24,75914.0,1426.0,11605.0,448.0,26.39,32.89,False,True,43975.0,1362.0,704896.0,11.57,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Montana,2020-08-24,6489.0,91.0,40.0,,0.62,,True,True,,,4630.0,0.44,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Nebraska,,,,,,,,False,False,,,90860.0,4.77,An error occurred. ... ValueError('Unable to find layer covid19_hot_accumulative_lab_dt in flc URL https://gis.ne.gov/enterprise/rest/services/Covid19MapV5/MapServer')
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Nevada,2020-08-24,66010.0,1200.0,3742.0,94.0,8.36,11.69,False,False,44737.0,804.0,261123.0,8.93,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,New Hampshire,2020-08-24,7134.0,429.0,355.0,9.0,5.66,2.14,False,False,6272.0,421.0,20516.0,1.53,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,New Mexico,2020-08-23,24396.0,745.0,433.0,,1.77,,True,False,,,43006.0,2.06,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,New York -- New York,2020-08-24,228617.0,19025.0,36155.0,5316.0,28.93,30.48,False,True,124989.0,17441.0,2049418.0,24.27,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,NewYork,2020-08-23,430145.0,25295.0,,6417.0,,26.92,False,False,,23839.0,,,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,North Carolina,2020-08-24,156396.0,2535.0,28202.0,747.0,23.93,31.13,False,True,117864.0,2400.0,2179622.0,21.46,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,NorthDakota,,,,,,,,False,False,,,,,"An error occurred. ... AttributeError(""'NoneType' object has no attribute 'text'"")"
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Ohio,2020-08-24,115651.0,3986.0,27040.0,754.0,26.54,19.0,False,True,101869.0,3968.0,1438271.0,12.35,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Oklahoma,,,,,,,,False,False,,,287959.0,7.35,"An error occurred. ... UnboundLocalError(""local variable 'unknown_pct' referenced before assignment"")"
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Oregon,2020-08-24,25155.0,420.0,870.0,9.0,3.95,2.46,False,True,22025.0,366.0,77789.0,1.91,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Pennsylvania,2020-08-24,125822.0,7579.0,17841.0,1593.0,28.19,21.08,False,True,63288.0,7558.0,1423319.0,11.13,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Rhode Island,2020-07-03,16491.0,960.0,1592.0,48.0,12.29,6.14,False,False,12950.0,782.0,69254.0,6.55,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,SouthCarolina,2020-08-21,110378.0,2459.0,37973.0,958.0,39.09,41.49,False,True,97145.0,2309.0,,,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,SouthDakota,,,,,,,,False,False,,,,,"An error occurred. ... TimeoutException('', None, None)"
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Tennessee,2020-08-24,144604.0,1588.0,27672.0,483.0,19.14,30.42,True,True,,,1117489.0,16.8,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Texas,,,,,,,,False,False,,,3365783.0,12.07,"An error occurred. ... KeyError(""None of ['Race/Ethnicity'] are in the columns"")"
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Texas -- Bexar County,2020-08-23,45255.0,721.0,464.0,17.0,6.81,15.32,False,False,6812.0,111.0,146703.0,7.62,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Utah,2020-08-24,49364.0,390.0,1157.0,7.0,2.3,1.79,True,False,,,35862.0,1.18,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Vermont,2020-08-24,1566.0,58.0,172.0,0.0,11.31,0.0,False,True,1521.0,58.0,8058.0,1.29,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Virginia,2020-07-21,79371.0,2048.0,12922.0,483.0,16.28,23.58,True,True,,,1613285.0,19.17,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Washington,2020-08-24,71371.0,1867.0,2949.0,60.0,5.93,3.27,False,False,49698.0,1836.0,269854.0,3.7,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,"Washington, DC",2020-08-24,13639.0,604.0,7027.0,449.0,51.52,74.34,True,True,,,321317.0,46.94,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,WestVirginia,,,,,,,,False,False,,,,,"An error occurred. ... TimeoutException('', None, None)"
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Wisconsin,2020-08-24,25068.0,745.0,4536.0,179.0,20.31,24.45,False,True,22339.0,732.0,368744.0,6.38,Success!
2020-08-24,2020/08/24 20:01:02America/Los Angeles TZ,Wisconsin -- Milwaukee,2020-08-24,23232.0,402.0,6294.0,151.0,28.94,37.56,False,False,21752.0,402.0,252321.0,26.44,Success!
