,Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Status code
Massachusetts,Massachusetts,5/9/2020,76743,4840,6288,252,8.19,5.21,Success!
Virginia,Virginia,5/11/2020,25070,850,4119,189,16.43,22.24,Success!
Washington DC,"Washington, DC",5/8/2020,5899,304,2793,241,47.35,79.28,Success!
Georgia,Georgia,5/11/2020,34002,1444,11982,715,35.24,49.52,Success!
Michigan,Michigan,5/11/2020,47552,4584,15217,1879,32,41,Success!
Minnesota,Minnesota,5/11/2020,11799,591,2006,35,17,6,Success!
North Carolina,North Carolina,,,,,,,,An error occured. ... ValueError('unconverted data remains: Updated at 2:00 p.m.\xa0')
Texas -- Bexar County,Texas -- Bexar County,5/11/2020,1805,54,172,14,9.53,25.93,Success!
Wisconsin -- Milwaukee,Wisconsin -- Milwaukee,5/11/2020,4051,221,1584,108,39.1,48.87,Success!
San Diego,California - San Diego,5/10/2020,5065,175,170,4,3.36,2.29,Success!
Florida,Florida,,,,,,,,"An error occured. ... NameError(""name 'fl_daily_url' is not defined"")"
