Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Status code
Alabama,2020-06-10,21626.0,739.0,9221.0,333.0,42.64,45.06,Success!
Arkansas,2020-06-10,593.0,11.0,16.0,0.0,2.7,0.0,Success!
California,2020-06-09,97336,4600,4713,451,4.8,9.8,Success!
California - San Diego,2020-06-09 23:57:39.114118,8729,301,260,9,2.98,2.99,Success!
Colorado,2020-06-10,28499.0,1573.0,1676.0,106.0,5.88,6.74,Success!
Florida,2020-06-10,65779,2801,12198,558,18.54,19.92,Success!
Georgia,2020-06-10,53980,2329,16965,1123,31.43,48.22,Success!
Massachusetts,2020-06-10 00:00:00,104156,7454,9729,620,9.34,8.32,Success!
Michigan,,,,,,,,"An error occurred. ... UnboundLocalError(""local variable 'date_published' referenced before assignment"")"
Minnesota,2020-06-10,28869,1236,6342,78,21.97,6.31,Success!
North Carolina,,,,,,,,An error occurred. ... ValueError('Unable to extract date from table header.')
Texas -- Bexar County,2020-06-10,1805,54,280,17.0,15.51,31.48,Success!
Virginia,2020-06-09 00:00:00,51738.0,1496.0,7154.0,311.0,13.83,20.79,Success!
"Washington, DC",2020-06-09 00:00:00,9474,495,4331,367,45.71,74.14,Success!
Wisconsin -- Milwaukee,2020-06-10,9161,306,2597,129,28.35,1.41,Success!
