Date Run,Date/Time Run,Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Status code
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Alabama,2020-08-20,107483.0,1905.0,28913.0,780.0,41.88,42.51,False,False,69031.0,1835.0,1293186.0,26.58,Success!
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Alaska,2020-08-20,2760.0,29.0,155.0,0.0,6.28,0.0,False,True,2468.0,29.0,24129.0,3.27,Success!
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Arizona,2020-08-20,196280.0,4684.0,5773.0,146.0,4.51,3.54,False,False,127896.0,4120.0,305259.0,4.39,Success!
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Arkansas,2020-08-20,54765.0,641.0,12039.0,165.0,24.56,25.86,False,True,49014.0,638.0,460970.0,15.41,Success!
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,California,2020-08-19 00:00:00,644751.0,11686.0,18043.0,905.0,4.28,8.01,False,False,421143.0,11298.0,2267875.0,5.79,Success!
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,California - Los Angeles,,,,,,,,False,False,,,823987.0,8.16,"An error occurred. ... KeyError(""['Under Investigation'] not found in axis"")"
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,California - San Diego,2020-08-20,35608.0,644.0,1353.0,29.0,4.65,4.55,False,False,29103.0,638.0,166412.0,5.04,Success!
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,California - San Francisco,,,,,,,,False,False,,,,,An error occurred. ... KeyError('Date_Uploaded.Data as of')
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Colorado,2020-08-20,54230.0,1903.0,2625.0,126.0,5.67,6.75,False,False,46291.0,1868.0,227938.0,4.12,Success!
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Connecticut,2020-08-19,49402.0,3572.0,6787.0,658.0,13.74,18.42,True,False,,,378262.0,10.56,Success!
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Delaware,2020-08-20,16718.0,595.0,4347.0,153.0,28.41,26.89,False,False,15299.0,569.0,209892.0,22.11,Success!
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Florida,2020-08-20,582407.0,10049.0,76007.0,1827.0,13.05,18.18,True,False,,,3316376.0,16.1,Success!
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Florida -- Miami-Dade County,2020-08-20,149162.0,2185.0,12836.0,,14.89,,False,True,86219.0,,481976.0,17.75,Success!
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Florida -- Orange County,2020-08-20,34135.0,359.0,4681.0,,24.14,,False,True,19395.0,,277193.0,20.98,Success!
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Georgia,2020-08-20,246741.0,4904.0,63371.0,2143.0,25.68,43.7,True,True,,,3239300.0,31.46,Success!
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Hawaii,2020-08-20,5844.0,45.0,29.0,,1.37,,False,True,2116.0,,26266.0,1.85,Success!
2020-08-20,2020/08/20 20:21:32America/Los Angeles TZ,Idaho,2020-08-20,29120.0,295.0,312.0,4.0,1.07,1.36,False,True,,,11536.0,0.68,Success!
